City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sakakah,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
79,Nguiu,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
80,Svetlogorsk,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
81,Yendi,GH,9.4427,-0.0099,82.72,53,99,9.6,overcast clouds
82,Urucara,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
83,Asau,RO,46.4333,26.4,45.95,83,97,5.84,overcast clouds
84,Butaritari,KI,3.0707,172.7902,80.98,80,100,14.2,light rain
85,Nikolskoye,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
86,Ahuimanu,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
87,Kalmunai,LK,7.4167,81.8167,78.44,82,74,2.35,broken clouds
88,Kruisfontein,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
89,Nishihara,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
90,Saskylakh,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
91,Grindavik,IS,63.8424,-22.4338,30.15,68,75,5.75,broken clouds
92,Vostok,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
93,Hermanus,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
94,Kapaa,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
95,Codrington,AU,-38.2667,141.9667,65.98,63,4,9.26,clear sky
96,Atasu,RU,50.6309,38.6903,44.71,77,14,7.2,few clouds
97,Yamada,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
98,Cockburn Town,TC,21.4612,-71.1419,78.35,76,1,21.45,clear sky
99,Tucano,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
100,Wewak,PG,-2.0226,147.2712,82.65,82,100,16.08,overcast clouds
101,Helmstedt,DE,52.2279,11.0099,44.55,90,100,28.63,overcast clouds
102,Khatanga,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
103,Massakory,TD,12.996,15.7293,88.56,12,34,10.11,scattered clouds
104,Yumen,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
105,San Patricio,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
106,Jamestown,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
107,Husavik,IS,63.8424,-22.4338,30.15,68,75,5.75,broken clouds
108,Nushki,PK,29.5542,66.0215,74.82,17,0,5.19,clear sky
109,Whitecourt,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
110,Lata,PT,40.1629,-8.3327,57.81,80,100,3.09,overcast clouds
111,Pacific Grove,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
112,Great Yarmouth,GB,52.6083,1.7305,38.44,88,41,15.84,scattered clouds
113,Tautira,PF,-23.1203,-134.9692,79.27,75,3,16.62,clear sky
114,Cidreira,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
115,Lincoln,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
116,Rungata,KI,3.0707,172.7902,80.98,80,100,14.2,light rain
117,Margate,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
118,Port Elizabeth,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
119,Vardo,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
120,Cherat,PK,29.5542,66.0215,74.82,17,0,5.19,clear sky
121,East London,ZA,-34.5322,20.0403,55.27,78,11,4.99,few clouds
122,Manzhouli,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
123,Varhaug,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
124,Upernavik,GL,77.484,-69.3632,-6.45,69,7,7.43,clear sky
125,Fereydunshahr,IR,32.941,50.121,38.19,61,17,7.63,few clouds
126,Attock,PK,29.5542,66.0215,74.82,17,0,5.19,clear sky
127,Hualmay,PE,-13.7,-76.2167,68.05,77,0,21.85,clear sky
128,Churapcha,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
129,Vestmannaeyjar,IS,63.8424,-22.4338,30.15,68,75,5.75,broken clouds
130,Buchanan,LR,5.8808,-10.0467,77.79,84,98,5.12,overcast clouds
131,Bibiani,GH,9.4427,-0.0099,82.72,53,99,9.6,overcast clouds
132,Aklavik,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
133,Hilo,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
134,Jalu,LY,29.0331,21.5482,63.99,50,19,17.67,few clouds
135,Xiaoweizhai,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
136,Palabuhanratu,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
137,Fukue,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
138,Ahipara,NZ,-46.6,168.3333,56.3,62,76,28.79,broken clouds
139,La Ronge,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
140,Bambous Virieux,MU,-20.3428,57.7575,79.05,78,40,8.05,light rain
141,Tapejara,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
142,Sovetskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
143,Lagoa,PT,39.05,-27.9833,59.34,82,100,13.62,overcast clouds
144,Xuddur,SO,4.1213,43.8894,75.99,70,100,15.86,overcast clouds
145,Norman Wells,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
146,Mahon,ES,39.8885,4.2658,57.76,72,0,10.36,clear sky
147,Padang,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
148,Coquimbo,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
149,Primorsko-Akhtarsk,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
150,Ilhabela,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
151,Sahuaripa,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
152,Kasempa,ZM,-13.4584,25.8338,64.4,98,100,4.54,light rain
153,Aykhal,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
154,Huarmey,PE,-13.7,-76.2167,68.05,77,0,21.85,clear sky
155,Geraldton,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
156,Mahebourg,MU,-20.3428,57.7575,79.05,78,40,8.05,light rain
157,Havoysund,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
158,Riyadh,SA,25.0213,37.2685,85.03,28,83,10.49,broken clouds
159,Hambantota,LK,7.4167,81.8167,78.44,82,74,2.35,broken clouds
160,Almendralejo,ES,39.8885,4.2658,57.76,72,0,10.36,clear sky
161,Bengkulu,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
162,Castro,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
163,Barrow,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
164,Guerrero Negro,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
165,Kamyshin,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
166,Praya,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
167,Suffolk,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
168,Belaya Gora,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
169,Pevek,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
170,Wajima,JP,35.1333,140.3,59.4,57,0,7.99,clear sky
171,Parkersburg,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
172,Pangnirtung,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
173,Kaitangata,NZ,-46.6,168.3333,56.3,62,76,28.79,broken clouds
174,Mount Isa,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
175,Salinas,EC,-0.7393,-90.3518,79.52,82,25,6.82,scattered clouds
176,Gasa,PS,31.5,34.4667,83.88,26,100,14.76,overcast clouds
177,Luderitz,NA,-22.9575,14.5053,58.08,82,0,8.05,clear sky
178,Chiang Mai,TH,12.5728,102.5371,73.02,66,98,5.5,overcast clouds
179,Tuatapere,NZ,-46.6,168.3333,56.3,62,76,28.79,broken clouds
180,Peniche,PT,39.05,-27.9833,59.34,82,100,13.62,overcast clouds
181,Airai,TL,-8.9266,125.4092,68.41,61,97,1.19,overcast clouds
182,Mys Shmidta,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
183,Ust-Kut,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
184,Poum,NC,-20.2333,164.0167,81.73,79,100,16.82,overcast clouds
185,Minab,IR,32.941,50.121,38.19,61,17,7.63,few clouds
186,Ponta Do Sol,CV,14.8961,-24.4956,72.14,76,30,9.31,scattered clouds
187,Kanniyakumari,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
188,Krasnoselkup,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
189,Manta,EC,-0.7393,-90.3518,79.52,82,25,6.82,scattered clouds
190,Palmerston,AU,-33.65,115.3333,67.68,72,92,9.24,overcast clouds
191,Rawson,AR,-54.8,-68.3,38.86,70,20,11.5,few clouds
192,Bagdarin,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
193,Matay,EG,28.419,30.7792,84.07,11,5,8.61,clear sky
194,Salaya,IN,28.0667,95.3333,66.67,83,99,5.57,overcast clouds
195,Xiaoshi,NG,7.3833,8.5667,78.78,82,90,16.87,light rain
196,Ancud,CL,-45.5752,-72.0662,50.61,87,20,3.44,few clouds
197,Attawapiskat,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
198,Saint-Philippe,RE,-21.3585,55.7679,74.79,86,56,13.42,light rain
199,Haines Junction,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
200,Bjelovar,HR,45.8986,16.8489,51.55,73,95,17.34,overcast clouds
201,Esso,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
202,Bridlicna,CZ,49.9117,17.3711,48.67,80,96,8.99,overcast clouds
203,Marcona,PE,-13.7,-76.2167,68.05,77,0,21.85,clear sky
204,Tuy Hoa,VN,13.0833,109.3,72.46,85,98,8.68,overcast clouds
205,Arraial Do Cabo,BR,-15.8631,-38.8828,76.66,80,0,6.33,clear sky
206,Barabai,ID,5.8933,95.3214,81.86,73,94,14.85,overcast clouds
207,Camacha,PT,39.05,-27.9833,59.34,82,100,13.62,overcast clouds
208,Iqaluit,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
209,Raahe,FI,64.6833,24.4833,26.69,92,81,11.77,broken clouds
210,Hauge,NO,70.3705,31.1107,31.59,69,45,15.59,scattered clouds
211,Mednogorskiy,UZ,40.4272,71.7189,65.12,39,87,9.22,overcast clouds
212,Playa Vicente,MX,17.5167,-91.9667,82.56,78,75,17.27,broken clouds
213,Torbay,CA,70.4692,-68.5914,-0.17,85,75,13.8,broken clouds
214,Sitka,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
215,Kenai,US,41.3712,-73.414,50.49,91,100,10.36,overcast clouds
216,Phan Rang,VN,13.0833,109.3,72.46,85,98,8.68,overcast clouds
217,Chuy,UY,-33.6971,-53.4616,63.21,92,100,5.77,overcast clouds
218,Adrar,MR,20.5022,-10.0711,72.75,16,0,11.05,clear sky
219,Santa Maria,CV,14.8961,-24.4956,72.14,76,30,9.31,scattered clouds
