City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
558,Bandrele,YT,78.55,clear sky,-12.9067,45.1914,Les Baobabs
560,Aguada De Pasajeros,CU,73.96,clear sky,22.385,-80.8508,El Bosque
561,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
563,Magog,CA,69.62,few clouds,45.2668,-72.1491,Auberge du Grand Lac
569,Fayetteville,US,70.5,overcast clouds,35.0527,-78.8784,American Eagle Inn
571,Charlestown,AU,70.74,light rain,-32.95,151.6667,Panorama Motor Inn Hotel
573,Vite,IN,76.1,overcast clouds,17.2833,74.55,Hotel Dreamland
575,Sarakhs,IR,66.34,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
578,Puerto Carreno,CO,79.41,light rain,6.189,-67.4859,Casa Hotel Victoria
579,Aksu,CN,74.08,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
582,Conceicao Da Barra,BR,72.61,clear sky,-18.5933,-39.7322,Cricaré Praia Hotel
584,Mutis,CO,79.32,light rain,6.2262,-77.4044,Paraiso Escondido
591,Angoche,MZ,72.3,clear sky,-16.2325,39.9086,Guest House HESADA
594,Los Arabos,CU,71.98,clear sky,22.7281,-80.7214,Motel Los Pinos
596,Tchaourou,BJ,75.47,overcast clouds,8.8865,2.5975,SAFIR HOTEL
597,Ilorin,NG,77.49,overcast clouds,8.5,4.55,SITY INN
599,Marsh Harbour,BS,73.56,clear sky,26.5412,-77.0636,Abaco Beach Resort
600,Linhares,BR,68.2,overcast clouds,-19.3911,-40.0722,Hotel Conceição
602,Marathon,US,71.35,haze,44.9,-89.7668,
605,Sakakah,SA,71.17,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
607,Salinopolis,BR,77.67,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
610,Tabou,CI,79.36,scattered clouds,4.423,-7.3528,hotêl doufoulougou
613,Buraydah,SA,75.65,clear sky,26.326,43.975,Mövenpick Qassim
615,Fort Oglethorpe,US,75.81,clear sky,34.949,-85.2569,Super 8 by Wyndham Ft. Oglethorpe GA/Chatt TN Area
617,Warri,NG,76.51,overcast clouds,5.5167,5.75,BON Hotel Delta
621,Moyo,UG,66.4,broken clouds,3.6609,31.7247,Amelia Guest House
623,Mtwara,TZ,70.5,clear sky,-10.2667,40.1833,TIL Hotels Mtwara
627,Doume,CM,68.77,overcast clouds,4.2333,13.45,Hotel Universel
630,Damietta,EG,66.09,clear sky,31.4165,31.8133,SULIMAN INN
637,Natal,BR,75.85,moderate rain,-5.795,-35.2094,Villa Park Hotel | Natal
638,Bundibugyo,UG,67.15,overcast clouds,0.7414,30.0417,R.A. Kaliisa Accomodations
642,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
645,Ferreira Do Alentejo,PT,65.79,clear sky,38.05,-8.0333,Herdade da Serra
648,Abong Mbang,CM,67.21,overcast clouds,3.9833,13.1833,Auberge Angle Sur
650,Mayor Pablo Lagerenza,PY,69.1,overcast clouds,-19.9309,-60.7718,
654,Korla,CN,70.12,clear sky,41.7597,86.1469,Gulisitan Hotel
656,Seydi,TM,70.03,scattered clouds,39.4816,62.9137,Seydi oteli
659,Weligama,LK,79.41,overcast clouds,5.9667,80.4167,Weligama Bay Resort
666,Dir,PK,68.25,clear sky,35.2058,71.8756,Sindh Hotal Dir
667,Macaparana,BR,69.78,overcast clouds,-7.5547,-35.4531,Hotel Martins
669,Loubomo,CG,71.51,light rain,-4.1997,12.6739,La Dolisienne
671,Raga,SS,73.42,overcast clouds,8.4596,25.678,
676,Santarem,BR,77.13,clear sky,-2.4431,-54.7083,Hotel Imperador
678,Lagarto,BR,70.32,few clouds,-10.9172,-37.65,Pousada Cota
682,Manoel Urbano,BR,74.59,moderate rain,-8.8389,-69.2597,Baixada Beira Rio
684,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
687,Afua,BR,75.13,broken clouds,-0.1567,-50.3867,Hotel Dias
688,Ara,IN,76.89,clear sky,25.5667,84.6667,Hotel The Regal- Arrah
689,Puerto Suarez,BO,71.2,overcast clouds,-18.95,-57.8,Hotel casa real
692,Suwanee,US,77.72,scattered clouds,34.0515,-84.0713,Fairfield Inn & Suites by Marriott Atlanta Suwanee
695,Gazojak,TM,68.72,clear sky,41.1875,61.4036,
701,Mehran,IR,74.82,clear sky,33.1222,46.1646,بوتیک زنانه بهار
703,Valledupar,CO,78.49,scattered clouds,10.4631,-73.2532,Hotel Arawak Upar
704,Punta Gorda,US,79.0,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
708,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
709,Antalaha,MG,72.37,clear sky,-14.9003,50.2788,Hotel Vitasoa
711,Itanhaem,BR,68.04,scattered clouds,-24.1831,-46.7889,Prainha Residência Artística
715,Talara,PE,65.8,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
717,Piacabucu,BR,76.33,clear sky,-10.4056,-36.4344,Piaçabuçu News
